reviewerId,merge_id,tags,atmosphere_id
mRCwd6txp-Hn49oHfPPvag,56272019056540320,welcoming,11
107912773137386330171,267538369935421630,tasting menu,26
107912773137386330171,267538369935421630,tasting menu,26
105298272966595602312,377171090460949760,attentive,6
106587984882202492908,377171090460949760,attentive,6
113433040965173753840,377171090460949760,attentive,6
97D11AEAD32C0001704991D1A81EBD05,439850603726543800,quiet,12
6A979D8F24A93D17450ABFEFA63BDE9C,488621394879506600,welcoming,11
6A979D8F24A93D17450ABFEFA63BDE9C,488621394879506600,friends,23
105805876202346968947,608490730760836400,family,24
114681449965195615053,608490730760836400,attentive,6
100753136381881455978,728137613149311900,casual,1
100753136381881455978,728137613149311900,friends,23
1A97DA6B2543EEEFFC9B0D8854DD1F9C,924348642480443400,welcoming,11
CAA55484E94B8C532C7F4B6A43E1EEF3,1110443490258369300,friends,23
CAA55484E94B8C532C7F4B6A43E1EEF3,1110443490258369300,family,24
108906570769780837907,1502406821994751e3,romantic,3
104676310753772665650,1549226809595793700,party,27
7A23568A8C1A501C6525F5325D5E8ED6,1701135331253012200,modern,19
113111630521258145372,1715798322244018200,vegan,21
6FE24EA674F476D30603307E8E756F09,1909931222219325700,friends,23
100714113976242265916,2028635316782365700,attentive,6
111272630128467427538,2052779275828355600,live music,22
116107307618451278964,2129187107677867500,family,24
E82E80BCCC0356D1A05EC748B5095144,2151730120133276e3,quiet,12
gVyhQWM0KF1w4D43sjE0yA,2186783942821109500,attentive,6
111444922497142186886,2.4180978036020797e+018,family,24
FF1D220BEC80D215AB1AADC6BA42001D,2439455034259584500,tasting menu,26
90BE245A77C539182B3E004EEAFD4F25,2446582188412006e3,casual,1
102337266384414389895,2481152489816717300,relaxed,2
D670876946D31D0D5FE6BE1680BA55B9,2693526629884485e3,tasting menu,26
D670876946D31D0D5FE6BE1680BA55B9,2693526629884485e3,tasting menu,26
72AF28F7CEF917C7383C6365B5E3B055,2807909795938915300,pricey,4
ABFB6AB99A534976005A60F33D411A51,2807909795938915300,gourmet,16
CFB7AD47D11C3B8B514C9DADC3B7033C,2938377161880545300,romantic,3
107479987302821355215,3346053413088334e3,attentive,6
116430039736210687540,3421732604183110700,vegetarian option,29
BF9E3196C8872860BB4BB66040F0F854,3448021354656885e3,attentive,6
114812395529614842738,3575627242141158e3,quiet,12
101198532300986079710,3600751760153327600,gluten free,30
108193860919413611101,3627615967297717e3,quiet,12
E8597FE0DA9CC788E536B538768F55B4,369030610092873e4,friends,23
1D4F7556C44AD464EEE502462474EA61,3807559835660814300,quiet,12
8D2A7F7470BF8B73B67960684A57A726,3953926380055931400,vegan,21
104353760341013673432,4147283271984732700,attentive,6
109442808914688186210,4509048890778068e3,attentive,6
536B695C64E1B9B25EFA75D88953E7F6,4561075587674811400,gluten free,30
117427771682362186316,5025828713509546e3,vegan,21
117427771682362186316,5025828713509546e3,vegan,21
16518E45A1753BE78CDD0CD347CB6B86,5124988231204092e3,stylish,20
AF042B1ABD00E152BE4314A669EAFB38,5722772033988647e3,vegan,21
7075AC557CCBD64E4742D662F140DE4B,5722772033988647e3,tasting menu,26
C53B6E8658B4E5D046543554E563B92B,5722772033988647e3,vegan,21
C53B6E8658B4E5D046543554E563B92B,5722772033988647e3,vegan,21
112392021541293841653,5826968472749102e3,friends,23
104976902968287088309,5826968472749102e3,attentive,6
2E7BC5E7F4DCB05474D6873E5BC7E0FE,6007561697321726e3,vegan,21
115634587584620069076,6196941596170096e3,attentive,6
66CA98AD5CAA654B98BEC0671A50BA76,6276746229819936e3,relaxed,2
101870489503620015465,6438091902629129e3,welcoming,11
369D4A7F1D213E56BE770390A5E7EFC7,6475172470704246e3,welcoming,11
30CD2EFA0E3F67594CE8A8F631A28328,6610180445533936e3,quiet,12
D3B0480F81324E9617AA758A29B1B4E6,6707395082893701e3,loud music,13
113464226738815675071,7221233496190652e3,attentive,6
117162107233995127440,7256128257387934e3,elegant,5
110808432600699705401,7353769509294404e3,beautiful view,9
110808432600699705401,7353769509294404e3,beautiful views,10
351184754594436E22C4262967927639,7477850461513016e3,pricey,4
AF379EE31A50441695A3B0EADCC30EB7,7481131271710669e3,party,27
18F6CDE428FB4FBB831D65A50A4454CF,7598962454820404e3,pricey,4
107798225930502941781,8018556375214818e3,welcoming,11
7FC03F7932A83FA30480EEEB61E03C85,8062142937318559e3,kids,25
AE0D72D55B9F6A9393EB8A2391E8981A,8062142937318559e3,family,24
93112502AB86A5A8A312C3B128A09C5E,8099021569355182e3,welcoming,11
1D60E8B65A9E9B7101AD2BF1D35592F9,8326056321816351e3,romantic,3
006714A14E3F01BF4AFA87FC9FB57099,8366332654614671e3,attentive,6
A0913EFE9BF28FF08BC197BE3731CBF4,8442061985427532e3,attentive,6
uX-zwFV4nuKyLlQvaai7Sg,852808290749531e4,friends,23
647DF4D87FBADA858CCAE0A11F6A18F9,8630887425198035e3,stylish,20
A07746CF322F5517C49A300506B83784,8676164160175657e3,vegan,21
A07746CF322F5517C49A300506B83784,8676164160175657e3,vegan,21
